ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000610.SZ,12.106877221580032,1.5650088887437494,-0.129692832764505,0.0296261620630389,2.1079,0.0,0.0,0.0,0.0,0.0
000612.SZ,14.21205172879246,2.010030935890813,-0.0687079910380881,0.0322963072019637,4.116,10.466,1.9292,0.0,0.0,0.0
000615.SZ,13.363501489034531,0.8483661972404871,0.0470588235294118,0.019278783529757,1.1669,0.0,3.8925,0.0,0.0,0.0
000617.SZ,16.1455173451132,-0.2442656789379848,-0.1295503211991433,0.0359931953717926,0.8341,22.3231,0.9657,0.0,0.0,0.0
000619.SZ,12.479672109265495,1.625371810532768,0.0170648464163821,0.0232054207479242,1.9073,0.0,1.0591,0.0,0.0,0.0
000620.SZ,14.424122805795506,1.8332872704376693,0.1178571428571429,0.0361912373688053,3.8726,0.0,5.0152,0.0,0.0,0.0
000623.SZ,14.54944009907506,1.055851802437423,-0.0213483146067415,0.0147767044162781,0.9967,7.5909,0.6615,0.0,0.0,0.0
000625.SZ,15.93974726471838,0.5179099235835464,-0.1526104417670684,0.009659395929916,0.8993,27.2255,1.0837,0.0,0.0,0.0
000626.SZ,12.913638175564492,1.4868016492196676,-0.101010101010101,0.0331991043717502,1.8682,0.0,1.848,0.0,0.0,0.0
000628.SZ,14.553554447309194,1.3212704782235185,-0.0026872690628148,0.0332302216547765,5.2267,193.2645,9.5117,0.0,0.0,0.0
000629.SZ,15.061051940319627,2.148819493410407,0.0809248554913295,0.0304024849708838,2.518,453.8866,2.8102,0.0,0.0,0.0
000630.SZ,15.958915245957204,2.4826399670645727,-0.013953488372093,0.0332873103424101,4.4065,32.4941,2.2751,0.0,0.0,0.0
000631.SZ,13.512106916486085,1.6065813064344148,-0.0123076923076923,0.032478362517329,0.6775,147.6717,1.34,0.0,0.0,0.0
000632.SZ,12.109306383802902,1.3304394665764692,-0.1352549889135254,0.0354327558752016,3.2763,0.0,28.942,0.0,0.0,0.0
000633.SZ,12.380012248778202,1.9090922411757136,-0.0636363636363636,0.0247908353734133,2.4364,321.9319,11.9416,0.0,0.0,0.0
000635.SZ,12.59942969437932,1.7663374057892915,-0.0658385093167703,0.029702830199351,1.7763,0.0,2.6879,0.0,0.0,0.0
000636.SZ,15.286303385060142,2.6215106831890687,0.6953582694907614,0.0422598518601147,2.7114,141.6421,3.4869,0.0,0.0,0.0
000637.SZ,12.376086110481545,1.2110115923065483,0.0316742081447963,0.0304015988956255,2.5983,0.0,4.9535,0.0,0.0,0.0
000638.SZ,0.0,0.0876920278654913,-0.4573170731707316,0.0411746854694606,0.0,0.0,0.0,0.0,0.0,0.0
000639.SZ,12.04678753454162,1.1979582975995382,-0.2651162790697673,0.0390459229234058,4.1404,0.0,1.0328,0.0,0.0,0.0
000650.SZ,13.532043283957384,0.9662036804221308,-0.0643478260869565,0.0139720655169552,0.8311,20.3958,1.1666,0.0,0.0,0.0
000651.SZ,16.892815760448915,0.5799482956953608,0.0495800596044433,0.0117014630705956,0.7003,7.4363,1.4274,0.0,0.0,0.0
000652.SZ,13.233772199166433,1.2655750827353518,-0.0859188544152745,0.0226159045653839,1.2807,0.0,1.0431,0.0,0.0,0.0
000655.SZ,13.021137047766285,1.8573114156935269,-0.1133177570093458,0.025586036469635,1.6092,17.7819,1.2792,0.0,0.0,0.0
000656.SZ,14.262252597029418,0.7837819949474985,0.0208333333333333,0.0168226355173701,1.2073,0.5059,3.7997,0.0,0.0,0.0
000657.SZ,16.469733396793664,2.3661353484604297,0.0790520671164158,0.0454590890480707,6.3188,71.7591,13.3038,0.0,0.0,0.0
000659.SZ,13.18492840867866,0.9277390100071324,0.0024213075060532,0.035335838001021,1.9275,0.0,57.8737,0.0,0.0,0.0
000661.SZ,14.985732396238014,1.1472257902849436,-0.1053227633069082,0.0209349770263303,1.1805,0.0,1.4464,0.0,0.0,0.0
000663.SZ,12.291495479411374,1.424728843986932,0.0172955974842766,0.0242644609522003,2.0407,0.0,2.3929,0.0,0.0,0.0
000665.SZ,13.165332093013154,1.7329050455331931,-0.023404255319149,0.0230752835338313,1.6818,0.0,1.6354,0.0,0.0,0.0
000668.SZ,12.479331133020514,1.4025338906411806,0.2110960757780784,0.0297899909253897,1.0964,93.6579,3.5176,0.0,0.0,0.0
